,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
August-2022,Focused Fund,2 7,"5 3,10,404","2 ,333.52","1 ,447.36","1 ,04,348.35","1 ,03,088.31",-,-
August-2022,Sectoral/Thematic Funds,1 18,"1 ,24,55,739","3 ,022.12","4 ,288.79","1 ,57,811.81","1 ,57,053.66",-,-
August-2022,ELSS,3 9,"1 ,42,94,155","1 ,433.39","1 ,564.45","1 ,53,608.45","1 ,51,726.90",-,-
August-2022,Flexi Cap Fund,3 3,"1 ,22,85,444","5 ,808.55","3 ,708.57","2 ,42,438.49","2 ,38,963.24",-,-
August-2022,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),3 70,"9 ,11,04,864","2 7,845.75","2 1,726.17","1 4,77,898.31","1 4,56,536.80",-,-
-,-,-,-,-,-,-,-,-,-
August-2022,Hybrid Schemes,-,-,-,-,-,-,-,-
August-2022,Conservative Hybrid Fund,2 1,"5 ,15,506",5 35.56,3 34.51,"2 2,279.69","2 2,045.68",1,-
August-2022,Balanced Hybrid Fund/Aggressive Hybrid Fund,3 2,"5 2,18,497","2 ,756.33","2 ,011.42","1 ,55,900.46","1 ,54,496.02",2,9 .33
August-2022,Dynamic Asset Allocation/Balanced Advantage Fund,2 6,"4 4,14,372","3 ,941.30","3 ,090.39","1 ,92,369.27","1 ,91,700.03",-,-
August-2022,Multi Asset Allocation Fund,9,"8 ,34,709",4 32.04,3 05.32,"2 1,081.59","2 2,030.17",-,-
August-2022,Arbitrage Fund,2 6,"4 ,94,632","3 ,558.74","1 2,106.82","8 1,384.53","9 9,090.33",-,-
August-2022,Equity Savings Fund,2 2,"3 ,66,286",5 84.19,5 61.25,"1 7,358.68","1 7,874.79",2,2 5.81
August-2022,Sub Total - III (i+ii+iii+iv+v+vi),1 36,"1 ,18,44,002","1 1,808.15","1 8,409.72","4 ,90,374.22","5 ,07,237.02",5,3 5.14
-,-,-,-,-,-,-,-,-,-
August-2022,Solution Oriented Schemes,-,-,-,-,-,-,-,-
August-2022,Retirement Fund,2 5,"2 7,04,817",1 79.26,1 38.04,"1 7,407.58","1 7,169.93",-,-
August-2022,Childrens Fund,1 0,"2 9,03,665",1 00.80,4 9.48,"1 3,849.90","1 3,697.18",-,-
August-2022,Sub Total - IV (i+ii),3 5,"5 6,08,482",2 80.06,1 87.52,"3 1,257.48","3 0,867.10",-,-
-,-,-,-,-,-,-,-,-,-
August-2022,Other Schemes,-,-,-,-,-,-,-,-
August-2022,Index Funds,1 02,"2 8,29,331","9 ,766.37","1 ,978.13","1 ,04,742.43","1 ,00,434.79",-,-
August-2022,GOLD ETF,1 1,"4 6,09,726",1 49.62,1 87.75,"1 9,832.10","1 9,967.38",-,-
August-2022,Other ETFs,1 36,"1 ,14,93,468","1 2,421.72","5 ,005.26","4 ,59,208.03","4 ,51,379.61",-,-
August-2022,Fund of funds investing overseas,4 6,"1 2,46,685",4 46.58,5 44.51,"2 0,507.49","2 1,507.31",-,-
August-2022,Sub Total - V (i+ii+iii+iv),2 95,"2 ,01,79,210","2 2,784.29","7 ,715.66","6 ,04,290.04","5 ,93,289.09",-,-
-,-,-,-,-,-,-,-,-,-
August-2022,Total A-Open ended Schemes,"1 ,156","1 3,59,69,514","8 ,93,155.49","8 ,29,312.02","3 9,07,053.71","3 9,28,083.56",1 5,2 82.18
-,-,-,-,-,-,-,-,-,-
August-2022,Close Ended Schemes,-,-,-,-,-,-,-,-
August-2022,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
August-2022,Fixed Term Plan,9 2,"1 ,06,121","2 ,292.90",7 78.76,"1 6,110.17","1 4,581.23",-,-
August-2022,Capital Protection Oriented Schemes,9,"1 5,541",-,3 6.21,7 86.63,7 83.18,-,-
August-2022,Infrastructure Debt Fund,8,8 0,-,-,"2 ,056.50","2 ,052.95",-,-
